width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,wid
1024.0,767.0,True,chrome,109.0.0,False,Mac OS,True,122.7,True,True,browser-check,495,.25,,,,,,,,,,w90b6a49
1366.0,625.0,True,chrome,112.0.0,False,Windows 10,True,61.37,True,True,browser-check,985,.50,,,,,,,,,,w1069836
1024.0,767.0,True,chrome,109.0.0,False,Mac OS,True,122.45,True,True,browser-check,495,.25,,,,,,,,,,w0771b87
1024.0,767.0,True,chrome,109.0.0,False,Mac OS,True,120.97,True,True,browser-check,500,.50,,,,,,,,,,w40397a8
1024.0,660.0,True,chrome,112.0.0,False,Windows 10,True,61.46,True,True,browser-check,1025,.25,,,,,,,,,,wf03474e
1024.0,767.0,True,chrome,109.0.0,False,Mac OS,True,122.7,True,True,browser-check,494,.50,,,,,,,,,,w614cdc8
1027.0,772.0,True,edge-chromium,112.0.1722,False,Windows 10,True,60.63,True,True,browser-check,996,.50,,,,,,,,,,wa26e043
1027.0,772.0,True,edge-chromium,112.0.1722,False,Windows 10,True,60.52,True,True,browser-check,994,.25,,,,,,,,,,w151c3c0
1027.0,772.0,True,chrome,112.0.0,False,Windows 10,True,60.07,True,True,browser-check,1001,.50,,,,,,,,,,w49099cd
1027.0,772.0,True,edge-chromium,112.0.1722,False,Windows 10,True,60.65,True,True,browser-check,992,.50,,,,,,,,,,w114df1d
1032.0,654.0,True,chrome,112.0.0,False,Windows 10,True,76.34,True,True,browser-check,791,.50,,,,,,,,,,wab4f61a
1024.0,767.0,True,chrome,111.0.0,False,Mac OS,True,60.08,True,True,browser-check,1005,.25,,,,,,,,,,wa2400fe
1024.0,740.0,True,safari,16.4.0,False,Mac OS,True,60.18,True,True,browser-check,1006,.25,,,,,,,,,,wcd3c8c0
1024.0,740.0,True,safari,16.4.0,False,Mac OS,True,60.0,True,True,browser-check,1018,.25,,,,,,,,,,wf66a63e
1024.0,740.0,True,safari,16.4.0,False,Mac OS,True,60.0,True,True,browser-check,1008,.25,,,,,,,,,,w7f0988d
1028.0,758.0,True,chrome,112.0.0,False,Windows 10,True,59.41,False,False,browser-check,1017,.50,,,,,,,,,,w13fbba7
1024.0,660.0,True,chrome,112.0.0,False,Windows 10,True,32.28,False,False,browser-check,1867,.25,,,,,,,,,,w12872e3
1024.0,660.0,True,chrome,112.0.0,False,Windows 10,True,60.17,False,False,browser-check,1004,.50,,,,,,,,,,w764e1f2
1024.0,660.0,True,chrome,112.0.0,False,Windows 10,True,61.15,False,False,browser-check,988,.50,,,,,,,,,,wb71f6f0
1024.0,660.0,True,chrome,112.0.0,False,Windows 10,True,61.35,True,True,browser-check,993,.25,,,,,,,,,,w7815325
1024.0,767.0,True,chrome,109.0.0,False,Windows 8.1,True,30.36,False,False,browser-check,1990,.25,,,,,,,,,,w3f91209
1024.0,660.0,True,chrome,111.0.0,False,Windows 10,True,60.56,False,False,browser-check,1013,.50,,,,,,,,,,w9eb5e40
1024.0,660.0,True,chrome,112.0.0,False,Windows 10,True,59.89,False,False,browser-check,1009,.50,,,,,,,,,,wd311d9f
1920.0,988.0,True,chrome,111.0.0,False,Windows 10,True,60.77,False,False,browser-check,994,.25,,,,,,,,,,w480a190
1024.0,664.0,True,firefox,112.0.0,False,Windows 10,True,31.4,False,False,browser-check,1920,.25,,,,,,,,,,w4c81fa8
1366.0,657.0,True,chrome,112.0.0,False,Windows 10,True,61.72,True,True,browser-check,1419,.25,,,,,,,,,,wced23a6
980.0,1726.0,True,chrome,109.0.0,True,Android OS,True,55.41,True,True,browser-check,1134,.50,,,,,,,,,,we74d609
1600.0,749.0,True,chrome,112.0.0,False,Windows 10,True,61.18,True,True,browser-check,988,.25,,,,,,,,,,wec34513
1024.0,747.0,True,chrome,112.0.0,False,Mac OS,True,59.67,True,True,browser-check,1011,.25,,,,,,,,,,w3b06b11
1366.0,625.0,True,chrome,112.0.0,False,Windows 10,True,61.58,True,True,browser-check,3942,.25,,,,,,,,,,wa900b3a
980.0,1829.0,True,chrome,111.0.0,True,Android OS,True,56.52,True,True,browser-check,1097,.25,,,,,,,,,,w56a4125
1600.0,775.0,True,firefox,112.0.0,False,Windows 10,True,51.55,True,True,browser-check,1180,.25,,,,,,,,,,wb46418f
1600.0,749.0,True,chrome,112.0.0,False,Windows 10,True,61.51,True,True,browser-check,982,.50,,,,,,,,,,w44f295b
1600.0,749.0,True,chrome,112.0.0,False,Windows 10,True,60.18,True,True,browser-check,1004,.25,,,,,,,,,,w19aedb5
1600.0,749.0,True,chrome,112.0.0,False,Windows 10,True,61.17,True,True,browser-check,986,.50,,,,,,,,,,w6bd8020
1366.0,625.0,True,chrome,112.0.0,False,Windows 10,True,61.8,True,True,browser-check,2031,.25,,,,,,,,,,w110f64d
